Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Wonder,R.J. Palacio,"",9780375869020,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Second Treatise of Government,John Locke,Crawford Brough Macpherson,9780915144860,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Devil's Arithmetic,Jane Yolen,"",9780142401095,paperback,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
Agnes Grey,Anne Brontë,"",9780140432107,paperback,to-read,2025/02/08,"","",0,"",,,,,,,,,"",,"",No
The Hunger Games,Suzanne Collins,"",9780439023481,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,No
Mockingjay,Suzanne Collins,"",9780439023511,hardcover,to-read,2025/04/28,"","",0,"",,,,,,,,,"",,"",No
The Sun Also Rises,Ernest Hemingway,"","",paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Scarlet Letter,Nathaniel Hawthorne,"",9798562632241,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Fahrenheit 451,Ray Bradbury,"",9781451673319,paperback,read,2025/05/30,2025/02/02,2025/01/28-2025/02/02,1,"",,,,,,,,,"",,"",No
The Red Pyramid,Rick Riordan,"",9781423113386,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,"to-be-read, dnf",Yes
101 Essays That Will Change The Way You Think,Brianna Wiest,"","",digital,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Plague,Albert Camus,Stuart Gilbert (Translator),8176062650,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Dead Poets Society,N.H. Kleinbaum,"",9780553282986,digital,to-read,2025/06/13,"","",0,"",,,,,,,,,"",,"",No
Lolita,Vladimir Nabokov,"","",hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Twenty-Two: Letters to a Young Woman Searching for Meaning,Allison Trowbridge,"",9780718078164,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Little Women,Louisa May Alcott,"","",hardcover,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
Better Than the Movies,Lynn Painter,"",9781534467620,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Picture of Dorian Gray,Oscar Wilde,Robert Mighall (Contributor),9780141439570,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
999 Lá Thư Gửi Cho Chính Mình,喵公子,Quỳnh Nhi,9786049709746,paperback,to-read,2025/05/24,"","",0,"",,,,,,,,,"",,to-be-read,No
101 Essays That Will Change The Way You Think,Brianna Wiest,"","",digital,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,No
A Curse for True Love,Stephanie Garber,"",9781250851208,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Picking Daisies on Sundays,Liana Cincotti,"",9798396490833,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Ballad of Never After,Stephanie Garber,"",9781250268426,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Tell Me Three Things,Julie Buxbaum,"",9780553535648,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Ballad of Songbirds and Snakes,Suzanne Collins,"",9780702309519,paperback,to-read,2025/04/28,"","",0,"",,,,,,,,,"",,"",No
The Metamorphosis,Franz Kafka,Stanley Corngold (Translator),9780553213690,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Một cuốn sách về chủ nghĩa tối giản,Chi Nguyen,"","",paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
A Tale of Two Cities,Charles Dickens,Richard Maxwell (Contributor),9780141439600,paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Great Gatsby,F. Scott Fitzgerald,"",9780743273565,paperback,read,2024/11/11,2024/10/07,2024/10/07,1,"",,,,,,,4.0,,"",,"",No
The Reappearance of Rachel Price,Holly Jackson,"",9780593374207,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Fault in Our Stars,John Green,Kate Rudd,9781455869749,audio,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,No
When in Rome,Sarah Adams,"",9780593500781,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Do-Over,Lynn Painter,"","",digital,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Truyện Kiều,Nguyễn Du,"",B00IJYDJAM,digital,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Complete Stories and Poems of Edgar Allan Poe,Edgar Allan Poe,"",9780385074070,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Ethan Frome,Edith Wharton,"",9781799955672,audio,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Stranger,Albert Camus,Matthew Ward (Translator),9780881032475,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Bride,Ali Hazelwood,Isabelle Varange (Translator),9782811238568,digital,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Canterville Ghost,Oscar Wilde,Richard Williams (Narrator),"",digital,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Utopia,Thomas More,Paul Turner (Translator),9780140449105,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Tempest,William Shakespeare,"",9781522992516,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Alchemist,Paulo Coelho,Alan R. Clarke (Translator),9780062315007,paperback,read,2025/02/24,2026/01/19,2026/01/14-2026/01/19,1,"",,"","","","","",2.5,"<div>If i wanted to read a self help book, id read the bible.</div>","","","",No
Dune,Frank Herbert,"",9780593099322,hardcover,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
Yellowface,R.F. Kuang,"Jasmin Humburg (Translator), Milena Karas (Narrator)",9783754012321,audio,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
"Always and Forever, Lara Jean",Jenny Han,"",9781481430487,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Importance of Being Earnest,Oscar Wilde,"",9781580495806,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
"Everything, Everything",Nicola Yoon,"",9780553496642,hardcover,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
Kafka on the Shore,Haruki Murakami,"Daniel Liévano (Illustrator), Philip Gabriel (Translator)","",hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
